RegionCode,RegionName,ONS_DeprivationIndex,MedianIncome,MedianRent
E12000001,North East,31.32,24068,989
E12000002,North West,16.8,37564,841
E12000003,Yorkshire and the Humber,20.27,32886,1032
E12000004,East Midlands,39.19,34939,1446
E12000005,West Midlands,10.89,25980,1111
E12000006,East of England,31.03,23515,1271
E12000007,London,19.98,37966,805
E12000008,South East,31.11,29161,951
E12000009,South West,37.39,26001,756
W92000004,Wales,10.79,33543,1659
S92000003,Scotland,7.44,34914,751
N92000002,Northern Ireland,23.43,34904,1187
