TransactionID,AccountID,CustomerID,Amount,Currency,MerchantName,MCC,Category,Channel,City,RegionCode,IsRefund,TransactionDate,BalanceAfter
1,1,1,-894,GBP,Acme Lettings,6513,Housing,Online,London,E12000007,0,1/3/2025 7:15,-528
2,1,1,-3,GBP,Boots,5912,Health,Online,London,E12000007,0,1/3/2025 9:47,-531
3,1,1,-8,GBP,Sainsbury's,5411,Groceries,Online,London,E12000007,0,1/3/2025 10:34,-539
4,1,1,-8,GBP,Merlin,7812,Entertainment,Online,London,E12000007,0,1/4/2025 8:23,-547
5,1,1,-8,GBP,Merlin,7812,Entertainment,Online,London,E12000007,0,1/4/2025 12:12,-555
6,1,1,-16,GBP,Iceland,5411,Groceries,POS,London,E12000007,0,1/4/2025 13:27,-571
7,1,1,-9,GBP,National Rail,4111,Transport,Online,London,E12000007,0,1/4/2025 18:30,-580
8,1,1,-4,GBP,Stagecoach,4111,Transport,POS,London,E12000007,0,1/5/2025 11:40,-584
9,1,1,-25,GBP,Lidl,5411,Groceries,Online,London,E12000007,0,1/5/2025 16:03,-609
10,1,1,-14,GBP,Pret a Manger,5812,Dining,POS,London,E12000007,0,1/5/2025 19:09,-623
11,1,1,-11,GBP,Argos,5399,Other,Online,London,E12000007,0,1/6/2025 8:22,-634
12,1,1,-3,GBP,Superdrug,5912,Health,Online,London,E12000007,0,1/6/2025 10:35,-637
13,1,1,-16,GBP,Wagamama,5812,Dining,POS,London,E12000007,0,1/7/2025 16:27,-653
14,1,1,-3,GBP,First Bus,4111,Transport,POS,London,E12000007,0,1/8/2025 10:08,-656
15,1,1,-3,GBP,Boots,5912,Health,POS,London,E12000007,0,1/8/2025 10:20,-659
16,1,1,-7,GBP,Stagecoach,4111,Transport,Online,London,E12000007,0,1/8/2025 10:59,-666
17,1,1,-13,GBP,Sainsbury's,5411,Groceries,Online,London,E12000007,0,1/8/2025 11:03,-679
18,1,1,-3,GBP,Superdrug,5912,Health,Online,London,E12000007,0,1/8/2025 14:34,-682
19,1,1,-10,GBP,Waitrose,5411,Groceries,POS,London,E12000007,0,1/8/2025 15:48,-692
20,1,1,-21,GBP,Amazon,5399,Other,Online,London,E12000007,0,1/8/2025 18:15,-713
21,1,1,-12,GBP,IKEA,5399,Other,POS,London,E12000007,0,1/8/2025 18:31,-725
22,1,1,-5,GBP,Merlin,7812,Entertainment,POS,London,E12000007,0,1/8/2025 19:10,-730
23,1,1,-21,GBP,Cineworld,7812,Entertainment,Online,London,E12000007,0,1/8/2025 21:49,-751
24,1,1,-3,GBP,NHS Prescription,5912,Health,POS,London,E12000007,0,1/9/2025 20:51,-754
25,1,1,-19,GBP,Aldi,5411,Groceries,POS,London,E12000007,0,1/10/2025 9:36,-773
26,1,1,-44,GBP,Octopus Energy,4900,Utilities,Online,London,E12000007,0,1/10/2025 9:47,-817
27,1,1,-18,GBP,Aldi,5411,Groceries,POS,London,E12000007,0,1/10/2025 9:50,-835
28,1,1,-9,GBP,Waitrose,5411,Groceries,Online,London,E12000007,0,1/10/2025 10:35,-844
29,1,1,-27,GBP,Argos,5399,Other,POS,London,E12000007,0,1/10/2025 12:55,-871
30,1,1,-13,GBP,Waitrose,5411,Groceries,Online,London,E12000007,0,1/10/2025 14:11,-884
31,1,1,8,GBP,Merlin,7812,Entertainment,Online,London,E12000007,1,1/10/2025 17:12,-876
32,1,1,-16,GBP,Zizzi,5812,Dining,Online,London,E12000007,0,1/11/2025 8:02,-892
33,1,1,-7,GBP,Uber,4111,Transport,Online,London,E12000007,0,1/11/2025 17:37,-899
34,1,1,-27,GBP,Leon,5812,Dining,Online,London,E12000007,0,1/12/2025 10:18,-926
35,1,1,-34,GBP,IKEA,5399,Other,POS,London,E12000007,0,1/12/2025 21:12,-960
36,1,1,-16,GBP,Zizzi,5812,Dining,POS,London,E12000007,0,1/13/2025 8:54,-976
37,1,1,-3,GBP,First Bus,4111,Transport,POS,London,E12000007,0,1/13/2025 11:31,-979
38,1,1,-6,GBP,Odeon,7812,Entertainment,Online,London,E12000007,0,1/13/2025 13:04,-985
39,1,1,-3,GBP,Boots,5912,Health,Online,London,E12000007,0,1/13/2025 17:36,-988
40,1,1,-16,GBP,Sainsbury's,5411,Groceries,Online,London,E12000007,0,1/13/2025 21:09,-1004
41,1,1,-3,GBP,NHS Prescription,5912,Health,POS,London,E12000007,0,1/15/2025 12:22,-1007
42,1,1,-15,GBP,Nando's,5812,Dining,POS,London,E12000007,0,1/15/2025 15:19,-1022
43,1,1,-16,GBP,Wagamama,5812,Dining,Online,London,E12000007,0,1/15/2025 16:10,-1038
44,1,1,-20,GBP,First Bus,4111,Transport,POS,London,E12000007,0,1/15/2025 21:32,-1058
